client_id,campaign_id,external_site_id
2392769782,3,370668
2693949047,1,339897
6841408721,2,989339
1457891936,1,530191
5354259272,1,206900
4555022961,3,457
3118263979,2,754393
6026221713,3,327948
5110337608,3,880929
6309178778,2,148360
3322214668,3,181063
665955022,2,646537
2421789343,2,663787
4878940743,3,148495
7610771706,1,325088
5244205340,2,76299
6679923357,1,727358
717710423,1,41380
5546062197,3,794433
5757671441,2,730450
8576947497,3,516213
6355022950,1,174100
3573663193,2,155787
4217174943,3,151954
6647475877,2,194442
1500265592,1,453428
9673204778,3,641970
6694048812,1,109885
6336703627,1,783502
5424611649,3,61168
1777324022,1,699956
6160112821,1,79900
9303851868,2,172670
3436167450,3,515981
4623747764,1,222308
714030285,3,38610
9395840904,1,3459
3373507741,1,275038
1617564910,2,633203
9802036782,3,448674
893970906,3,972224
9970981242,2,270284
7066217989,2,214881
2542678723,2,978408
4791099221,3,732247
6004281446,3,255198
7533736273,1,70534
3237080967,2,237484
2941679747,2,744795
9410298864,2,469757
740299705,2,148405
2693232025,2,673707
9652460052,1,307928
6025653491,2,601511
8581188253,1,483136
9613967830,1,318215
1495653624,3,680902
4310653968,3,773260
6023886275,1,411539
2470577315,2,254045
5819123934,1,258103
8724954481,1,185031
9498053910,2,797570
9255591765,1,171607
3171538912,3,765279
8690528078,1,533373
3827829818,3,570695
8207211633,3,545367
9251384689,1,666602
9610170980,3,791296
3617383477,1,164367
326580604,1,649210
8759107320,3,718778
3182293574,2,451811
3378055837,2,940996
7996714259,3,767630
1090609427,2,759372
2420244643,2,229690
405948970,3,376987
6693561493,3,490885
7521610105,3,171053
3158804363,1,34410
1694299108,1,555609
1481211266,1,283895
480866154,1,834847
7331011277,1,62321
9568474083,2,89955
7847011933,2,276236
9943188621,2,91707
5254351894,3,773260
1632686165,2,920003
9924146369,2,713380
9207003491,2,247539
6500731083,3,886514
4473837692,3,560962
1179761123,3,926419
8905731989,1,540246
7998058164,2,975870
1320160582,3,770168
1464153249,3,554089
8910527074,3,957512
4770407837,1,308527
6746334736,1,604416
757955743,1,257137
6190567822,3,584718
8501526877,2,471651
2071156755,1,983252
2085262236,1,938091
7072965848,3,616410
5940722146,1,370159
5764995492,1,129396
2549967270,1,227519
5937607808,3,897722
2095178195,1,764358
5495668530,3,978685
5117674728,2,926973
9816723210,3,852097
6999216470,2,256950
1739468659,1,767495
8724284490,1,964475
6950761167,2,27492
5886568015,3,730405
1273677107,1,922129
6012138609,3,578998
7873509156,1,397149
391876829,2,166209
260104178,1,885728
1302664461,1,221200
5880696141,3,597266
2617703270,2,517553
6523368375,2,348477
6806841504,3,405497
1863851920,2,984495
3736279066,1,551828
497242997,2,33122
2253750189,2,835955
7772030445,3,184619
9012170284,3,419198
3366866710,3,746367
4532578601,1,817822
8108851120,2,224427
777862004,2,785254
5737000558,2,449183
3488376224,1,172715
5397361902,2,155555
7159946220,3,815007
8185544269,2,192413
2270081285,3,843659
1368659810,2,915114
4880658454,1,155368
4504720693,3,242605
8169776533,1,457486
2552267179,2,979606
9005708641,2,821236
4258254211,2,710520
5671668610,1,111083
5026804106,1,281215
6733221457,1,997320
188796442,3,372053
4846646719,1,638691
6774637952,1,415597
6858797774,2,57477
946669788,3,186184
4231539571,1,685656
4622243441,2,320244
2173991445,1,417169
9394130177,2,626929
9677238551,2,937537
4707660242,2,803754
646926701,1,796739
96888211,2,695112
1278101425,3,567236
9688431913,3,765047
969016717,1,570141
7048447933,3,182313
9754112561,1,463116
6414481930,1,937118
3320735310,2,984173
6253696084,3,972688
65337299,3,820869
8473431288,2,52311
5922821387,1,803155
9270066306,3,84789
7267912803,2,819761
3783997176,2,445402
249400210,1,253169
730794357,3,297918
3073100802,3,882037
4340037228,3,166718
9737230494,2,842319
7973618130,2,458362
8706749612,1,346957
1113137999,1,831568
3948995281,2,683440
4970796029,3,107579
8211741942,3,724865
8682347100,1,829494
5717053414,3,293351
2947048559,2,768139
2672813120,2,56511
1389761077,2,480553
9435449409,2,843794
8913086476,1,784423
9232983089,3,891957
4897652942,1,451399
9316929873,2,903075
